BA Flight,STA / STD,DOW,Origin,Destination,Inbound / Outbound
BA 8701,08:05,Wednesday,EDI,LCY,Inbound
BA 8711,08:40,Wednesday,EDI,LCY,Inbound
BA 8705,09:10,Wednesday,EDI,LCY,Inbound
BA 8703,10:10,Wednesday,EDI,LCY,Inbound
BA 8713,11:05,Wednesday,EDI,LCY,Inbound
BA 8715,12:05,Wednesday,EDI,LCY,Inbound
BA 2217,14:00,Wednesday,EDI,LCY,Inbound
BA 2219,14:45,Wednesday,EDI,LCY,Inbound
BA 8707,18:05,Wednesday,EDI,LCY,Inbound
BA 8709,19:20,Wednesday,EDI,LCY,Inbound
BA 8719,21:20,Wednesday,EDI,LCY,Inbound
BA 8700,07:00,Wednesday,LCY,EDI,Outbound
BA 8702,07:50,Wednesday,LCY,EDI,Outbound
BA 8704,08:45,Wednesday,LCY,EDI,Outbound
BA 2216,10:40,Wednesday,LCY,EDI,Outbound
BA 2218,11:35,Wednesday,LCY,EDI,Outbound
BA 8716,14:20,Wednesday,LCY,EDI,Outbound
BA 8706,16:10,Wednesday,LCY,EDI,Outbound
BA 8712,17:10,Wednesday,LCY,EDI,Outbound
BA 8712,17:10,Wednesday,LCY,EDI,Outbound
BA 8708,18:00,Wednesday,LCY,EDI,Outbound
BA 8710,19:00,Wednesday,LCY,EDI,Outbound
BA 8718,19:50,Wednesday,LCY,EDI,Outbound
BA 8721,08:15,Wednesday,GLA,LCY,Inbound
BA 8723,08:50,Wednesday,GLA,LCY,Inbound
BA 8739,10:15,Wednesday,GLA,LCY,Inbound
BA 8725,12:10,Wednesday,GLA,LCY,Inbound
BA 2211,15:30,Wednesday,GLA,LCY,Inbound
BA 8727,17:30,Wednesday,GLA,LCY,Inbound
BA 2213,19:00,Wednesday,GLA,LCY,Inbound
BA 8729,20:20,Wednesday,GLA,LCY,Inbound
BA 2215,21:15,Wednesday,GLA,LCY,Inbound
BA 8720,07:05,Wednesday,LCY,GLA,Outbound
BA 8722,08:50,Wednesday,LCY,GLA,Outbound
BA 2210,09:20,Wednesday,LCY,GLA,Outbound
BA 8726,14:20,Wednesday,LCY,GLA,Outbound
BA 2212,15:50,Wednesday,LCY,GLA,Outbound
BA 8724,17:00,Wednesday,LCY,GLA,Outbound
BA 8728,18:00,Wednesday,LCY,GLA,Outbound
BA 2214,19:30,Wednesday,LCY,GLA,Outbound
BA 8730,20:30,Wednesday,LCY,GLA,Outbound
BA 3281,08:10,Wednesday,IOM,LCY,Inbound
BA 3285,15:50,Wednesday,IOM,LCY,Inbound
BA 3287,19:30,Wednesday,IOM,LCY,Inbound
BA 3282,08:40,Wednesday,LCY,IOM,Outbound
BA 3286,16:30,Wednesday,LCY,IOM,Outbound
BA 3288,20:00,Wednesday,LCY,IOM,Outbound
